"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"ground beef","chocolate","salmon","hot dogs","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","honey","extra dark chocolate","","","","","","","","","","","","","","","",""
"energy bar","energy drink","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","chocolate","escalope","fresh bread","","","","","","","","","","","","","","",""
"red wine","eggs","toothpaste","","","","","","","","","","","","","","","","",""
"frozen vegetables","ketchup","green tea","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"spaghetti","eggs","eggplant","","","","","","","","","","","","","","","","",""
"soup","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","fromage blanc","pancakes","french fries","escalope","","","","","","","","","","","","","","",""
"milk","salmon","fresh bread","low fat yogurt","mint","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"burgers","grated cheese","","","","","","","","","","","","","","","","","",""
"turkey","fresh tuna","frozen vegetables","tomatoes","ground beef","spaghetti","mineral water","chocolate","soup","milk","olive oil","","","","","","","","",""
"cookies","energy drink","","","","","","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"shrimp","chocolate","flax seed","vegetables mix","cooking oil","babies food","low fat yogurt","","","","","","","","","","","","",""
"mineral water","body spray","low fat yogurt","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"parmesan cheese","spaghetti","french fries","cookies","","","","","","","","","","","","","","","",""
"mineral water","pancakes","eggs","whole wheat rice","yogurt cake","green tea","","","","","","","","","","","","","",""
"chocolate","spaghetti","mineral water","soup","butter","eggs","low fat yogurt","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"red wine","frozen vegetables","ground beef","spaghetti","milk","olive oil","chicken","eggs","extra dark chocolate","","","","","","","","","","",""
"grated cheese","herb & pepper","parmesan cheese","whole wheat pasta","ground beef","spaghetti","yams","milk","low fat yogurt","","","","","","","","","","",""
"salmon","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","avocado","milk","pancakes","oil","frozen smoothie","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","chicken","","","","","","","","","","","","","","","","",""
"chocolate","grated cheese","frozen smoothie","cookies","brownies","","","","","","","","","","","","","","",""
"grated cheese","shrimp","tomatoes","spaghetti","mineral water","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","ground beef","mineral water","milk","chicken","eggs","chocolate","french fries","","","","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"eggs","chocolate","","","","","","","","","","","","","","","","","",""
"milk","butter","eggs","whole wheat rice","","","","","","","","","","","","","","","",""
"cake","carrots","cookies","","","","","","","","","","","","","","","","",""
"mineral water","eggs","bug spray","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","mineral water","soup","milk","salmon","pancakes","","","","","","","","","","","","",""
"mushroom cream sauce","sandwich","","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"burgers","french fries","yogurt cake","","","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","eggs","eggplant","pancakes","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"chocolate","spaghetti","escalope","cookies","sandwich","pancakes","low fat yogurt","mint","","","","","","","","","","","",""
"cake","hot dogs","","","","","","","","","","","","","","","","","",""
"burgers","ham","grated cheese","mineral water","chocolate","olive oil","salmon","green grapes","honey","whole wheat rice","cake","green tea","","","","","","","",""
"yams","carrots","","","","","","","","","","","","","","","","","",""
"chocolate","french fries","","","","","","","","","","","","","","","","","",""
"grated cheese","tomatoes","spaghetti","mineral water","milk","ketchup","carrots","french fries","protein bar","","","","","","","","","","",""
"mineral water","cake","gums","chicken","french fries","hot dogs","energy drink","","","","","","","","","","","","",""
"milk","low fat yogurt","","","","","","","","","","","","","","","","","",""
"shrimp","spaghetti","mineral water","light cream","","","","","","","","","","","","","","","",""
"mineral water","olive oil","","","","","","","","","","","","","","","","","",""
"escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","","","",""
"turkey","mineral water","","","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"fresh tuna","ground beef","pepper","tomato sauce","chicken","soda","mint","","","","","","","","","","","","",""
"shrimp","mineral water","almonds","eggs","cake","blueberries","green tea","chocolate","french fries","escalope","cookies","mashed potato","brownies","pancakes","","","","","",""
"grated cheese","cereals","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","milk","olive oil","","","","","","","","","","","","","","","","",""
"herb & pepper","frozen vegetables","ground beef","spaghetti","soup","eggs","tea","chocolate","tomato juice","zucchini","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"mineral water","olive oil","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","chocolate","pancakes","french fries","mushroom cream sauce","","","","","","","","","","","","","","",""
"herb & pepper","spaghetti","mineral water","whole wheat rice","cake","hot dogs","green tea","","","","","","","","","","","","",""
"spaghetti","mineral water","spinach","eggs","rice","mint green tea","french fries","frozen smoothie","escalope","body spray","melons","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"burgers","ham","chocolate","ground beef","spaghetti","mineral water","bug spray","hot dogs","","","","","","","","","","","",""
"oil","cookies","","","","","","","","","","","","","","","","","",""
"burgers","eggs","green tea","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"herb & pepper","red wine","spaghetti","almonds","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","escalope","pancakes","green tea","","","","","","","","","","","","","","",""
"grated cheese","pepper","spaghetti","escalope","","","","","","","","","","","","","","","",""
"burgers","ground beef","mineral water","cake","french fries","protein bar","","","","","","","","","","","","","",""
"grated cheese","tomatoes","pepper","spaghetti","mineral water","avocado","milk","","","","","","","","","","","","",""
"tomatoes","cake","","","","","","","","","","","","","","","","","",""
"fresh tuna","frozen vegetables","honey","cake","brownies","energy drink","","","","","","","","","","","","","",""
"burgers","mineral water","chocolate","chicken","carrots","frozen smoothie","cottage cheese","","","","","","","","","","","","",""
"burgers","shrimp","whole wheat pasta","spaghetti","french wine","eggs","chocolate","","","","","","","","","","","","",""
"french fries","green tea","","","","","","","","","","","","","","","","","",""
"oil","","","","","","","","","","","","","","","","","","",""
"grated cheese","shrimp","french fries","cookies","pancakes","tomato juice","","","","","","","","","","","","","",""
"mineral water","cookies","","","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","chocolate","honey","green beans","french fries","body spray","pancakes","","","","","","","","","","","",""
"turkey","mineral water","milk","salmon","green tea","chocolate","escalope","","","","","","","","","","","","",""
"french fries","pancakes","","","","","","","","","","","","","","","","","",""
"ketchup","","","","","","","","","","","","","","","","","","",""
"chocolate","herb & pepper","ground beef","spaghetti","mineral water","olive oil","rice","french fries","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"energy bar","cake","cottage cheese","gluten free bar","","","","","","","","","","","","","","","",""
"burgers","eggs","french fries","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"chocolate","cookies","","","","","","","","","","","","","","","","","",""
"ground beef","pepper","spaghetti","cookies","","","","","","","","","","","","","","","",""
"mineral water","milk","cake","brownies","","","","","","","","","","","","","","","",""
"mineral water","milk","olive oil","chicken","","","","","","","","","","","","","","","",""
"milk","cooking oil","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","eggs","chicken","cereals","french fries","protein bar","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","cake","brownies","body spray","energy drink","green tea","","","","","","","","","","","","",""
"vegetables mix","antioxydant juice","french fries","","","","","","","","","","","","","","","","",""
"tomatoes","whole wheat pasta","spaghetti","chocolate","milk","french fries","pancakes","mayonnaise","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"tomatoes","french fries","cookies","","","","","","","","","","","","","","","","",""
"honey","chocolate","french fries","brownies","","","","","","","","","","","","","","","",""
"milk","hand protein bar","","","","","","","","","","","","","","","","","",""
"chocolate","champagne","","","","","","","","","","","","","","","","","",""
"eggs","escalope","low fat yogurt","","","","","","","","","","","","","","","","",""
"meatballs","","","","","","","","","","","","","","","","","","",""
"energy drink","","","","","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"ground beef","chicken","cereals","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","ground beef","pepper","spaghetti","mineral water","honey","strawberries","","","","","","","","","","","",""
"escalope","honey","","","","","","","","","","","","","","","","","",""
"energy bar","vegetables mix","energy drink","light mayo","","","","","","","","","","","","","","","",""
"pickles","turkey","parmesan cheese","pepper","spaghetti","mineral water","meatballs","milk","olive oil","french wine","salmon","frozen smoothie","fresh bread","","","","","","",""
"frozen vegetables","tomatoes","spaghetti","mineral water","fresh bread","white wine","zucchini","","","","","","","","","","","","",""
"mineral water","milk","cider","chocolate","french fries","","","","","","","","","","","","","","",""
"fresh bread","","","","","","","","","","","","","","","","","","",""
"spaghetti","vegetables mix","eggs","chocolate","escalope","mushroom cream sauce","","","","","","","","","","","","","",""
"chocolate","ground beef","spaghetti","eggs","cookies","mushroom cream sauce","","","","","","","","","","","","","",""
"herb & pepper","","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","mineral water","milk","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","spaghetti","soup","energy bar","cake","french fries","brownies","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"herb & pepper","mint","","","","","","","","","","","","","","","","","",""
"burgers","mineral water","milk","cake","chocolate","french fries","escalope","cookies","babies food","zucchini","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"eggs","mashed potato","","","","","","","","","","","","","","","","","",""
"cake","escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","","",""
"tomato sauce","spaghetti","olive oil","mushroom cream sauce","green tea","","","","","","","","","","","","","","",""
"burgers","grated cheese","champagne","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"burgers","eggs","","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"eggs","cooking oil","chocolate","mashed potato","mushroom cream sauce","cottage cheese","brownies","pancakes","","","","","","","","","","","",""
"frozen vegetables","avocado","whole weat flour","frozen smoothie","","","","","","","","","","","","","","","",""
"mineral water","meatballs","olive oil","muffins","whole wheat rice","yogurt cake","light mayo","salt","","","","","","","","","","","",""
"mineral water","milk","vegetables mix","chicken","green tea","chocolate","frozen smoothie","escalope","hot dogs","","","","","","","","","","",""
"green tea","french fries","brownies","","","","","","","","","","","","","","","","",""
"mineral water","whole wheat rice","frozen smoothie","","","","","","","","","","","","","","","","",""
"burgers","pickles","gums","french fries","","","","","","","","","","","","","","","",""
"chocolate","chili","","","","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","spaghetti","mineral water","milk","olive oil","chicken","cereals","fresh bread","","","","","","","","","","",""
"burgers","grated cheese","spaghetti","nonfat milk","eggs","gums","chocolate","tomato juice","low fat yogurt","","","","","","","","","","",""
"pancakes","eggs","salt","tomato juice","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","olive oil","green tea","zucchini","","","","","","","","","","","","","","",""
"ham","frozen vegetables","spaghetti","light mayo","","","","","","","","","","","","","","","",""
"muffins","honey","toothpaste","","","","","","","","","","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"chicken","green tea","","","","","","","","","","","","","","","","","",""
"parmesan cheese","spaghetti","green grapes","","","","","","","","","","","","","","","","",""
"herb & pepper","frozen vegetables","mineral water","muffins","cereals","","","","","","","","","","","","","","",""
"turkey","ground beef","escalope","green tea","","","","","","","","","","","","","","","",""
"turkey","eggs","french fries","asparagus","low fat yogurt","zucchini","","","","","","","","","","","","","",""
"turkey","tomatoes","spaghetti","mineral water","salmon","","","","","","","","","","","","","","",""
"eggs","mushroom cream sauce","low fat yogurt","","","","","","","","","","","","","","","","",""
"grated cheese","tomatoes","spaghetti","chocolate","rice","cooking oil","french fries","brownies","green tea","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"butter","chocolate","strawberries","magazines","green tea","","","","","","","","","","","","","","",""
"mineral water","chocolate","milk","vegetables mix","eggs","soda","cooking oil","carrots","frozen smoothie","escalope","","","","","","","","","",""
"dessert wine","shrimp","spaghetti","soup","gums","","","","","","","","","","","","","","",""
"burgers","spaghetti","yams","escalope","mushroom cream sauce","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","pepper","tomato sauce","mineral water","chutney","eggs","oil","oatmeal","chocolate","brownies","","","","","","","","",""
"cake","frozen smoothie","","","","","","","","","","","","","","","","","",""
"frozen vegetables","green grapes","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"chocolate","frozen vegetables","whole wheat rice","carrots","french fries","cookies","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"french fries","hot dogs","energy drink","light mayo","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","ground beef","butter","green tea","toothpaste","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","olive oil","body spray","","","","","","","","","","","","","","","","",""
"shrimp","gums","","","","","","","","","","","","","","","","","",""
"escalope","mushroom cream sauce","","","","","","","","","","","","","","","","","",""
"french fries","mayonnaise","","","","","","","","","","","","","","","","","",""
"eggs","low fat yogurt","","","","","","","","","","","","","","","","","",""
"turkey","spaghetti","","","","","","","","","","","","","","","","","",""
"turkey","shrimp","tomatoes","meatballs","energy bar","vegetables mix","whole wheat rice","carrots","green tea","","","","","","","","","","",""
"frozen vegetables","eggs","eggplant","yogurt cake","fresh bread","","","","","","","","","","","","","","",""
"red wine","pancakes","","","","","","","","","","","","","","","","","",""
"burgers","ground beef","escalope","","","","","","","","","","","","","","","","",""
"turkey","frozen vegetables","tomatoes","avocado","energy bar","pancakes","light cream","cooking oil","pet food","oatmeal","","","","","","","","","",""
"fresh tuna","parmesan cheese","cider","muffins","spinach","honey","oil","","","","","","","","","","","","",""
"meatballs","green tea","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","salmon","whole wheat rice","champagne","","","","","","","","","","","","","","",""
"hot dogs","pancakes","","","","","","","","","","","","","","","","","",""
"burgers","eggs","","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","whole wheat pasta","mineral water","milk","honey","oil","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","milk","eggs","","","","","","","","","","","","","","","","",""
"milk","chocolate","champagne","frozen smoothie","light mayo","low fat yogurt","","","","","","","","","","","","","",""
"grated cheese","spaghetti","","","","","","","","","","","","","","","","","",""
"escalope","pasta","mushroom cream sauce","green tea","","","","","","","","","","","","","","","",""
"tomatoes","vegetables mix","french fries","green tea","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","milk","salmon","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"milk","green tea","","","","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","ground beef","mineral water","chocolate","milk","olive oil","almonds","french wine","yogurt cake","fresh bread","","","","","","","","",""
"shrimp","frozen vegetables","spaghetti","mineral water","milk","strong cheese","","","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"meatballs","green tea","","","","","","","","","","","","","","","","","",""
"muffins","blueberries","pet food","green tea","toothpaste","","","","","","","","","","","","","","",""
"soup","french fries","body spray","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"escalope","low fat yogurt","","","","","","","","","","","","","","","","","",""
"turkey","burgers","mineral water","strawberries","","","","","","","","","","","","","","","",""
"frozen vegetables","chicken","bacon","eggs","honey","extra dark chocolate","eggplant","cottage cheese","","","","","","","","","","","",""
"herb & pepper","mineral water","cake","light cream","carrots","","","","","","","","","","","","","","",""
"shrimp","pasta","","","","","","","","","","","","","","","","","",""
"grated cheese","shrimp","pasta","tomatoes","milk","frozen smoothie","sandwich","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"chocolate","french fries","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","yogurt cake","","","","","","","","","","","","","","","","",""
"antioxydant juice","chocolate","","","","","","","","","","","","","","","","","",""
"shrimp","mineral water","milk","honey","chicken","french fries","fresh bread","green tea","","","","","","","","","","","",""
"grated cheese","herb & pepper","spaghetti","olive oil","brownies","strawberries","","","","","","","","","","","","","",""
"french fries","strawberries","","","","","","","","","","","","","","","","","",""
"eggs","french fries","brownies","strawberries","","","","","","","","","","","","","","","",""
"turkey","burgers","fresh tuna","frozen vegetables","eggs","cake","pancakes","fresh bread","","","","","","","","","","","",""
"cereals","cookies","yogurt cake","tomato juice","fresh bread","green tea","","","","","","","","","","","","","",""
"spaghetti","hot dogs","","","","","","","","","","","","","","","","","",""
"mineral water","whole wheat rice","rice","cooking oil","chocolate","fresh bread","low fat yogurt","","","","","","","","","","","","",""
"vegetables mix","nonfat milk","pancakes","","","","","","","","","","","","","","","","",""
"chocolate","zucchini","","","","","","","","","","","","","","","","","",""
"oil","frozen smoothie","white wine","","","","","","","","","","","","","","","","",""
"chocolate","tomatoes","mineral water","avocado","cooking oil","french fries","cookies","pasta","low fat yogurt","","","","","","","","","","",""
"burgers","eggs","escalope","","","","","","","","","","","","","","","","",""
"shrimp","parmesan cheese","soup","chocolate","brownies","","","","","","","","","","","","","","",""
"milk","green tea","","","","","","","","","","","","","","","","","",""
"chocolate","escalope","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","chocolate","","","","","","","","","","","","","","","","",""
"mineral water","frozen smoothie","","","","","","","","","","","","","","","","","",""
"chocolate","rice","eggplant","hand protein bar","zucchini","","","","","","","","","","","","","","",""
"strawberries","pancakes","yogurt cake","","","","","","","","","","","","","","","","",""
"yams","mint","","","","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat rice","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"avocado","champagne","frozen smoothie","sparkling water","green tea","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","meatballs","whole wheat rice","chocolate","","","","","","","","","","","","","","",""
"butter","tomato juice","magazines","low fat yogurt","","","","","","","","","","","","","","","",""
"chocolate","spaghetti","mineral water","milk","salmon","green tea","escalope","mushroom cream sauce","","","","","","","","","","","",""
"avocado","eggs","brownies","","","","","","","","","","","","","","","","",""
"salmon","","","","","","","","","","","","","","","","","","",""
"escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","","","",""
"pancakes","hot dogs","sparkling water","fresh bread","","","","","","","","","","","","","","","",""
"grated cheese","mineral water","cake","chocolate bread","","","","","","","","","","","","","","","",""
"chocolate","pepper","spaghetti","mineral water","nonfat milk","whole wheat rice","french fries","champagne","","","","","","","","","","","",""
"parmesan cheese","cake","hot dogs","green tea","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","milk","salmon","eggs","cooking oil","corn","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"shrimp","pepper","milk","almonds","eggs","escalope","green tea","","","","","","","","","","","","",""
"ham","eggs","honey","gums","light cream","ham","","","","","","","","","","","","","",""
"eggs","escalope","","","","","","","","","","","","","","","","","",""
"tomatoes","","","","","","","","","","","","","","","","","","",""
"burgers","ground beef","salmon","vegetables mix","eggs","chocolate","","","","","","","","","","","","","",""
"brownies","low fat yogurt","","","","","","","","","","","","","","","","","",""
"spaghetti","meatballs","vegetables mix","muffins","cake","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"burgers","chocolate","frozen vegetables","ground beef","mineral water","milk","light mayo","asparagus","","","","","","","","","","","",""
"fresh tuna","butter","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"spaghetti","olive oil","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","mineral water","french wine","fromage blanc","pancakes","eggs","honey","cooking oil","chicken","brownies","","","","","","","","","",""
"spaghetti","pancakes","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","eggs","low fat yogurt","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","eggs","cooking oil","chocolate","escalope","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","salmon","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","brownies","fresh bread","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"mineral water","frozen smoothie","","","","","","","","","","","","","","","","","",""
"melons","candy bars","","","","","","","","","","","","","","","","","",""
"tomatoes","chocolate","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","whole wheat rice","cooking oil","chocolate bread","whole weat flour","brownies","","","","","","","","","","","",""
"chocolate","whole wheat pasta","salmon","green tea","magazines","","","","","","","","","","","","","","",""
"mineral water","chocolate","chicken","","","","","","","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"shrimp","spinach","","","","","","","","","","","","","","","","","",""
"pickles","herb & pepper","frozen vegetables","cider","eggs","brownies","pancakes","yogurt cake","green tea","","","","","","","","","","",""
"cereals","salad","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"chocolate","fresh bread","honey","","","","","","","","","","","","","","","","",""
"fresh tuna","frozen vegetables","spaghetti","mineral water","honey","whole wheat rice","frozen smoothie","escalope","","","","","","","","","","","",""
"champagne","fresh bread","","","","","","","","","","","","","","","","","",""
"burgers","mineral water","cake","hot dogs","cauliflower","","","","","","","","","","","","","","",""
"green grapes","chocolate","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","oil","protein bar","green tea","","","","","","","","","","","","","","",""
"spaghetti","chocolate","frozen smoothie","hot dogs","pancakes","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"fresh tuna","eggs","escalope","strawberries","","","","","","","","","","","","","","","",""
"melons","","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"clothes accessories","protein bar","tomato juice","fresh bread","low fat yogurt","mint","","","","","","","","","","","","","",""
"pasta","","","","","","","","","","","","","","","","","","",""
"shrimp","milk","cake","bug spray","cooking oil","cereals","energy drink","salt","","","","","","","","","","","",""
"frozen vegetables","spaghetti","","","","","","","","","","","","","","","","","",""
"olive oil","hot dogs","","","","","","","","","","","","","","","","","",""
"ground beef","tomato sauce","mineral water","soup","salmon","green grapes","whole weat flour","frozen smoothie","","","","","","","","","","","",""
"ground beef","mineral water","french fries","protein bar","hand protein bar","salt","candy bars","","","","","","","","","","","","",""
"red wine","mineral water","green tea","","","","","","","","","","","","","","","","",""
"cake","cookies","pancakes","low fat yogurt","","","","","","","","","","","","","","","",""
"cake","oatmeal","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","yams","milk","eggs","champagne","","","","","","","","","","","","","","",""
"ground beef","yams","chocolate","olive oil","eggs","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"eggs","tea","","","","","","","","","","","","","","","","","",""
"turkey","escalope","","","","","","","","","","","","","","","","","",""
"turkey","tomatoes","pepper","strong cheese","whole wheat rice","french fries","frozen smoothie","hot dogs","pancakes","babies food","green tea","","","","","","","","",""
"burgers","mineral water","whole wheat rice","","","","","","","","","","","","","","","","",""
"honey","","","","","","","","","","","","","","","","","","",""
"energy bar","nonfat milk","bug spray","chicken","","","","","","","","","","","","","","","",""
"fresh tuna","spaghetti","mineral water","salmon","","","","","","","","","","","","","","","",""
"butter","","","","","","","","","","","","","","","","","","",""
"ground beef","cookies","","","","","","","","","","","","","","","","","",""
"chocolate","red wine","tomatoes","spaghetti","butter","almonds","strong cheese","clothes accessories","green tea","hand protein bar","mint","","","","","","","","",""
"frozen vegetables","mineral water","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","honey","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","mineral water","vegetables mix","eggs","whole wheat rice","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"mineral water","energy bar","salmon","cooking oil","shallot","low fat yogurt","","","","","","","","","","","","","",""
"ham","spaghetti","mineral water","olive oil","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","mineral water","","","","","","","","","","","","","","","","",""
"avocado","black tea","whole wheat rice","cake","french fries","cottage cheese","tomato juice","green tea","","","","","","","","","","","",""
"eggs","champagne","","","","","","","","","","","","","","","","","",""
"fromage blanc","chocolate","french fries","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"shrimp","butter","chicken","salmon","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"eggs","french fries","cookies","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","spaghetti","chicken","extra dark chocolate","cereals","hot dogs","brownies","green tea","","","","","","","","","","",""
"shrimp","whole wheat pasta","spaghetti","mineral water","avocado","olive oil","chicken","chocolate","","","","","","","","","","","",""
"herb & pepper","ground beef","yams","mineral water","eggs","cake","oil","chocolate","french fries","cookies","","","","","","","","","",""
"grated cheese","chocolate","french wine","chicken","","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","eggs","green tea","hot dogs","cauliflower","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"french wine","eggs","chicken","light mayo","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","spaghetti","flax seed","salmon","cake","brownies","","","","","","","","","","","","",""
"fresh tuna","mineral water","honey","low fat yogurt","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","milk","butter","cake","","","","","","","","","","","","","","",""
"energy bar","brownies","","","","","","","","","","","","","","","","","",""
"tomatoes","chocolate","eggs","pancakes","","","","","","","","","","","","","","","",""
"grated cheese","whole wheat pasta","mineral water","avocado","olive oil","frozen smoothie","light mayo","","","","","","","","","","","","",""
"mineral water","cake","light cream","bug spray","burger sauce","","","","","","","","","","","","","","",""
"chicken","eggs","","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"chocolate","cookies","","","","","","","","","","","","","","","","","",""
