"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"light mayo","","","","","","","","","","","","","","","","","","",""
"red wine","cooking oil","french fries","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"chocolate","mineral water","eggs","rice","","","","","","","","","","","","","","","",""
"mineral water","milk","extra dark chocolate","protein bar","zucchini","green tea","","","","","","","","","","","","","",""
"cake","oatmeal","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","milk","butter","pancakes","barbecue sauce","eggplant","","","","","","","","","","","","",""
"ham","shrimp","tomatoes","ground beef","chocolate","","","","","","","","","","","","","","",""
"french fries","cookies","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"eggs","cooking oil","chocolate","escalope","","","","","","","","","","","","","","","",""
"mineral water","salmon","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","honey","whole wheat rice","cooking oil","whole weat flour","frozen smoothie","low fat yogurt","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"turkey","ham","mineral water","chocolate","milk","chicken","eggs","cake","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"chocolate","mint","","","","","","","","","","","","","","","","","",""
"fromage blanc","escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","","",""
"mineral water","milk","green tea","","","","","","","","","","","","","","","","",""
"burgers","escalope","pasta","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","french fries","","","","","","","","","","","","","","","","",""
"tomatoes","ground beef","meatballs","salmon","eggs","champagne","frozen smoothie","low fat yogurt","mint","","","","","","","","","","",""
"mineral water","salmon","","","","","","","","","","","","","","","","","",""
"grated cheese","mineral water","avocado","salmon","chocolate","asparagus","","","","","","","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"burgers","fresh tuna","soup","french fries","body spray","green tea","","","","","","","","","","","","","",""
"yams","eggplant","","","","","","","","","","","","","","","","","",""
"mineral water","chicken","","","","","","","","","","","","","","","","","",""
"mineral water","vegetables mix","honey","chocolate","french fries","light mayo","","","","","","","","","","","","","",""
"milk","eggs","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","soup","milk","chicken","cake","hot dogs","","","","","","","","","","","","",""
"chocolate","spaghetti","bug spray","","","","","","","","","","","","","","","","",""
"ham","spaghetti","mineral water","olive oil","eggs","cooking oil","french fries","green tea","","","","","","","","","","","",""
"herb & pepper","frozen vegetables","mineral water","energy bar","salmon","","","","","","","","","","","","","","",""
"green beans","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","milk","cereals","pancakes","","","","","","","","","","","","","","","",""
"french fries","escalope","","","","","","","","","","","","","","","","","",""
"burgers","energy drink","","","","","","","","","","","","","","","","","",""
"burgers","black tea","eggs","whole wheat rice","","","","","","","","","","","","","","","",""
"soup","avocado","french fries","escalope","body spray","","","","","","","","","","","","","","",""
"grated cheese","pepper","milk","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","tomatoes","parmesan cheese","whole wheat pasta","ground beef","spaghetti","energy bar","pet food","cottage cheese","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"chocolate","frozen vegetables","spaghetti","green tea","","","","","","","","","","","","","","","",""
"spaghetti","oil","cooking oil","white wine","","","","","","","","","","","","","","","",""
"milk","salmon","cereals","","","","","","","","","","","","","","","","",""
"fresh tuna","tomatoes","pancakes","cake","gums","cereals","low fat yogurt","","","","","","","","","","","","",""
"tomatoes","chocolate","black tea","honey","champagne","","","","","","","","","","","","","","",""
"mineral water","chicken","hot dogs","","","","","","","","","","","","","","","","",""
"butter","pancakes","chicken","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","",""
"chocolate","yogurt cake","","","","","","","","","","","","","","","","","",""
"burgers","red wine","pepper","spaghetti","eggs","green tea","","","","","","","","","","","","","",""
"burgers","mineral water","eggs","","","","","","","","","","","","","","","","",""
"pickles","shrimp","milk","cake","french fries","brownies","green tea","","","","","","","","","","","","",""
"shrimp","parmesan cheese","","","","","","","","","","","","","","","","","",""
"soup","milk","pancakes","honey","mint green tea","cottage cheese","","","","","","","","","","","","","",""
"red wine","milk","eggs","chocolate bread","salt","white wine","","","","","","","","","","","","","",""
"turkey","eggs","chocolate","frozen smoothie","tomato juice","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"eggs","eggplant","cookies","","","","","","","","","","","","","","","","",""
"red wine","yams","mineral water","olive oil","eggs","chocolate","hot dogs","strawberries","","","","","","","","","","","",""
"spaghetti","mineral water","body spray","protein bar","","","","","","","","","","","","","","","",""
"turkey","pepper","yams","chicken","whole wheat rice","eggplant","green tea","","","","","","","","","","","","",""
"turkey","red wine","mineral water","chocolate","soup","light cream","rice","oil","chicken","barbecue sauce","","","","","","","","","",""
"grated cheese","spinach","french fries","","","","","","","","","","","","","","","","",""
"mineral water","soup","french fries","mint","green tea","","","","","","","","","","","","","","",""
"spaghetti","mineral water","olive oil","strong cheese","honey","cereals","chocolate","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"mineral water","black tea","mashed potato","","","","","","","","","","","","","","","","",""
"frozen vegetables","chocolate","whole wheat rice","","","","","","","","","","","","","","","","",""
"whole wheat pasta","eggs","cake","frozen smoothie","cookies","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","cookies","","","","","","","","","","","","","","","","",""
"fresh tuna","spaghetti","mineral water","salmon","","","","","","","","","","","","","","","",""
"energy bar","eggs","french fries","","","","","","","","","","","","","","","","",""
"fresh tuna","eggs","escalope","","","","","","","","","","","","","","","","",""
"red wine","spaghetti","milk","eggs","chocolate","","","","","","","","","","","","","","",""
"shrimp","avocado","low fat yogurt","","","","","","","","","","","","","","","","",""
"milk","chicken","extra dark chocolate","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"sandwich","","","","","","","","","","","","","","","","","","",""
"burgers","chocolate","spaghetti","mineral water","olive oil","pancakes","eggs","mayonnaise","","","","","","","","","","","",""
"mineral water","cake","","","","","","","","","","","","","","","","","",""
"ham","milk","chicken","whole wheat rice","ham","eggplant","","","","","","","","","","","","","",""
"red wine","spaghetti","eggs","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","pepper","spaghetti","mineral water","pancakes","chicken","chili","tea","french fries","tomato juice","fresh bread","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"red wine","spaghetti","mineral water","soup","milk","eggs","cake","gums","cooking oil","chocolate","frozen smoothie","","","","","","","","",""
"spaghetti","milk","energy bar","butter","chicken","cottage cheese","tomato juice","fresh bread","","","","","","","","","","","",""
"burgers","ground beef","spaghetti","mineral water","french fries","light mayo","","","","","","","","","","","","","",""
"burgers","cookies","green tea","","","","","","","","","","","","","","","","",""
"whole wheat rice","","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"mineral water","soup","milk","mashed potato","tomato juice","fresh bread","candy bars","","","","","","","","","","","","",""
"mineral water","body spray","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","milk","olive oil","","","","","","","","","","","","","","","","",""
"tomatoes","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","chocolate","milk","energy bar","almonds","cereals","mint","","","","","","","","","","","",""
"tomatoes","almonds","cake","champagne","low fat yogurt","","","","","","","","","","","","","","",""
"soup","fromage blanc","eggs","cake","carrots","frozen smoothie","","","","","","","","","","","","","",""
"burgers","chocolate","","","","","","","","","","","","","","","","","",""
"mineral water","milk","energy bar","whole wheat rice","green tea","","","","","","","","","","","","","","",""
"ground beef","spaghetti","","","","","","","","","","","","","","","","","",""
"tomatoes","parmesan cheese","mineral water","eggs","","","","","","","","","","","","","","","",""
"green tea","frozen smoothie","","","","","","","","","","","","","","","","","",""
"shrimp","milk","whole wheat rice","rice","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"herb & pepper","spaghetti","mineral water","whole wheat rice","cake","hot dogs","green tea","","","","","","","","","","","","",""
"frozen vegetables","pepper","spaghetti","mineral water","green beans","french fries","frozen smoothie","pancakes","low fat yogurt","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","almonds","honey","","","","","","","","","","","","","","","",""
"pasta","","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","french fries","strawberries","","","","","","","","","","","","","","","",""
"mushroom cream sauce","","","","","","","","","","","","","","","","","","",""
"flax seed","eggs","green tea","chocolate","french fries","champagne","body spray","","","","","","","","","","","","",""
"burgers","fresh tuna","chocolate","","","","","","","","","","","","","","","","",""
"soda","","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","mineral water","chicken","","","","","","","","","","","","","","","",""
"chocolate","french fries","brownies","","","","","","","","","","","","","","","","",""
"burgers","fresh tuna","herb & pepper","shrimp","whole wheat pasta","milk","cider","eggs","cereals","pancakes","energy drink","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"pepper","pancakes","french fries","tomato juice","","","","","","","","","","","","","","","",""
"soup","avocado","milk","honey","cottage cheese","green tea","","","","","","","","","","","","","",""
"turkey","burgers","spaghetti","pancakes","ketchup","eggplant","french fries","cottage cheese","green tea","","","","","","","","","","",""
"frozen vegetables","spaghetti","salmon","honey","cake","chicken","french fries","green tea","","","","","","","","","","","",""
"turkey","eggs","pancakes","","","","","","","","","","","","","","","","",""
"turkey","green grapes","champagne","strawberries","green tea","","","","","","","","","","","","","","",""
"chocolate","cookies","","","","","","","","","","","","","","","","","",""
"grated cheese","mineral water","honey","cake","whole weat flour","salad","","","","","","","","","","","","","",""
"turkey","pepper","tomato sauce","spaghetti","milk","olive oil","frozen smoothie","","","","","","","","","","","","",""
"ground beef","pancakes","honey","","","","","","","","","","","","","","","","",""
"chocolate","spaghetti","mineral water","pancakes","cake","cookies","","","","","","","","","","","","","",""
"chocolate","yogurt cake","","","","","","","","","","","","","","","","","",""
"burgers","grated cheese","herb & pepper","mineral water","eggs","cooking oil","","","","","","","","","","","","","",""
"pickles","mineral water","hand protein bar","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","eggs","whole wheat rice","cake","oil","fresh bread","low fat yogurt","","","","","","","","","","","",""
"light mayo","","","","","","","","","","","","","","","","","","",""
"spaghetti","yams","green grapes","eggs","french fries","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"ham","spaghetti","mineral water","eggs","green tea","","","","","","","","","","","","","","",""
"strawberries","energy drink","","","","","","","","","","","","","","","","","",""
"burgers","ham","spaghetti","whole wheat rice","eggplant","chocolate","cookies","shallot","green tea","","","","","","","","","","",""
"parmesan cheese","whole wheat rice","","","","","","","","","","","","","","","","","",""
"spaghetti","nonfat milk","low fat yogurt","","","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","mineral water","milk","nonfat milk","eggs","blueberries","light cream","chicken","chocolate","french fries","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","fresh tuna","french wine","fromage blanc","","","","","","","","","","","","","","",""
"burgers","salt","white wine","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","pancakes","chicken","mint green tea","chocolate","french fries","escalope","mushroom cream sauce","brownies","yogurt cake","","","","","","","","",""
"mineral water","milk","","","","","","","","","","","","","","","","","",""
"spaghetti","honey","carrots","french fries","green tea","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"avocado","milk","whole wheat rice","cake","french fries","cottage cheese","body spray","","","","","","","","","","","","",""
"herb & pepper","chicken","french fries","cottage cheese","tomato juice","","","","","","","","","","","","","","",""
"spaghetti","chicken","","","","","","","","","","","","","","","","","",""
"spaghetti","escalope","mushroom cream sauce","","","","","","","","","","","","","","","","",""
"burgers","eggs","french fries","","","","","","","","","","","","","","","","",""
"fresh tuna","mineral water","eggs","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","spaghetti","mineral water","soup","eggs","","","","","","","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"milk","frozen smoothie","","","","","","","","","","","","","","","","","",""
"shrimp","","","","","","","","","","","","","","","","","","",""
"chocolate","milk","","","","","","","","","","","","","","","","","",""
"eggs","green tea","","","","","","","","","","","","","","","","","",""
"salad","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"burgers","whole wheat rice","ham","eggplant","","","","","","","","","","","","","","","",""
"vegetables mix","french fries","","","","","","","","","","","","","","","","","",""
"mineral water","cake","low fat yogurt","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"burgers","ham","frozen vegetables","eggs","cooking oil","chocolate","escalope","tomato juice","green tea","","","","","","","","","","",""
"escalope","low fat yogurt","","","","","","","","","","","","","","","","","",""
"shrimp","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"milk","cookies","","","","","","","","","","","","","","","","","",""
"meatballs","","","","","","","","","","","","","","","","","","",""
"herb & pepper","","","","","","","","","","","","","","","","","","",""
"asparagus","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","yogurt cake","light mayo","low fat yogurt","","","","","","","","","","","","","","",""
"chocolate","ground beef","milk","","","","","","","","","","","","","","","","",""
"fresh tuna","mineral water","french wine","vegetables mix","eggs","rice","chili","extra dark chocolate","green beans","escalope","salad","","","","","","","","",""
"frozen vegetables","fromage blanc","pancakes","french fries","escalope","","","","","","","","","","","","","","",""
"red wine","cake","french fries","cookies","protein bar","hand protein bar","tomato juice","green tea","","","","","","","","","","","",""
"eggs","cake","green tea","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"fresh tuna","frozen vegetables","chocolate","milk","fromage blanc","honey","french fries","frozen smoothie","energy drink","","","","","","","","","","",""
"grated cheese","herb & pepper","mineral water","soup","eggs","cake","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"ham","red wine","corn","green tea","","","","","","","","","","","","","","","",""
"milk","pancakes","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","","","","","","","","","","","","","","","","","",""
"white wine","","","","","","","","","","","","","","","","","","",""
"spaghetti","eggs","","","","","","","","","","","","","","","","","",""
"fresh tuna","mineral water","honey","cooking oil","","","","","","","","","","","","","","","",""
"energy drink","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","spaghetti","milk","olive oil","chocolate","brownies","melons","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"energy bar","black tea","eggs","chicken","champagne","light mayo","","","","","","","","","","","","","",""
"sparkling water","light mayo","","","","","","","","","","","","","","","","","",""
"ground beef","cake","","","","","","","","","","","","","","","","","",""
"ham","herb & pepper","frozen vegetables","tomatoes","whole wheat pasta","spaghetti","mineral water","honey","whole wheat rice","chicken","protein bar","","","","","","","","",""
"burgers","chocolate","grated cheese","herb & pepper","ground beef","spaghetti","milk","bacon","corn","pancakes","toothpaste","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"shrimp","ground beef","salmon","strawberries","","","","","","","","","","","","","","","",""
"red wine","spaghetti","salmon","vegetables mix","cereals","frozen smoothie","","","","","","","","","","","","","",""
"eggs","strawberries","","","","","","","","","","","","","","","","","",""
"flax seed","cake","pancakes","","","","","","","","","","","","","","","","",""
"turkey","yams","whole wheat rice","cooking oil","brownies","","","","","","","","","","","","","","",""
"burgers","milk","eggs","french fries","","","","","","","","","","","","","","","",""
"grated cheese","salmon","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","ground beef","spaghetti","chocolate","french wine","pancakes","eggs","frozen smoothie","sandwich","tomato juice","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","chocolate","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"flax seed","eggs","whole wheat rice","green tea","chocolate","french fries","","","","","","","","","","","","","",""
"oil","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","fromage blanc","whole wheat rice","light cream","chicken","chocolate bread","antioxydant juice","","","","","","","","","","","",""
"shrimp","tomatoes","spaghetti","mineral water","salmon","chocolate","","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"soup","chicken","cooking oil","french fries","","","","","","","","","","","","","","","",""
"spinach","","","","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"fresh tuna","tomatoes","mineral water","eggs","honey","low fat yogurt","","","","","","","","","","","","","",""
"chocolate","frozen smoothie","low fat yogurt","","","","","","","","","","","","","","","","",""
"red wine","mineral water","muffins","pancakes","honey","cake","cooking oil","whole weat flour","french fries","frozen smoothie","mushroom cream sauce","hot dogs","sparkling water","green tea","","","","","",""
"frozen vegetables","mineral water","almonds","bacon","eggs","barbecue sauce","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","spaghetti","eggs","","","","","","","","","","","","","","","",""
"shrimp","salmon","eggs","cookies","hot dogs","","","","","","","","","","","","","","",""
"fresh tuna","herb & pepper","spaghetti","milk","eggplant","","","","","","","","","","","","","","",""
"shrimp","","","","","","","","","","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"grated cheese","","","","","","","","","","","","","","","","","","",""
"mineral water","gums","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"red wine","whole wheat pasta","spaghetti","butter","french wine","fromage blanc","green beans","french fries","brownies","energy drink","low fat yogurt","","","","","","","","",""
"shrimp","frozen vegetables","cake","melons","","","","","","","","","","","","","","","",""
"mineral water","eggs","green tea","frozen smoothie","","","","","","","","","","","","","","","",""
"spaghetti","vegetables mix","french fries","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","pancakes","cooking oil","chocolate","frozen smoothie","escalope","","","","","","","","","","","","",""
"red wine","mineral water","chocolate","butter","cereals","antioxydant juice","protein bar","","","","","","","","","","","","",""
"mineral water","chocolate","","","","","","","","","","","","","","","","","",""
"salmon","escalope","","","","","","","","","","","","","","","","","",""
"flax seed","green tea","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"shrimp","whole wheat pasta","spaghetti","mineral water","avocado","olive oil","chicken","chocolate","","","","","","","","","","","",""
"grated cheese","herb & pepper","spaghetti","olive oil","brownies","strawberries","","","","","","","","","","","","","",""
"bramble","zucchini","","","","","","","","","","","","","","","","","",""
"spaghetti","antioxydant juice","","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"chocolate","frozen vegetables","tomatoes","spaghetti","mineral water","olive oil","salmon","green tea","","","","","","","","","","","",""
"spaghetti","mineral water","olive oil","green tea","zucchini","","","","","","","","","","","","","","",""
"eggs","oil","","","","","","","","","","","","","","","","","",""
"escalope","pasta","","","","","","","","","","","","","","","","","",""
"burgers","herb & pepper","red wine","tomatoes","ground beef","tomato sauce","spaghetti","milk","bacon","eggs","white wine","","","","","","","","",""
"chocolate","whole wheat pasta","spaghetti","milk","salmon","","","","","","","","","","","","","","",""
"mineral water","meatballs","energy drink","","","","","","","","","","","","","","","","",""
"tomatoes","chocolate","","","","","","","","","","","","","","","","","",""
"mineral water","energy drink","","","","","","","","","","","","","","","","","",""
"mineral water","french wine","gluten free bar","","","","","","","","","","","","","","","","",""
"energy bar","","","","","","","","","","","","","","","","","","",""
"gums","chocolate","","","","","","","","","","","","","","","","","",""
"spaghetti","avocado","honey","","","","","","","","","","","","","","","","",""
"turkey","fromage blanc","french fries","","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","","","","","","","","","","","","","","","","","",""
"tomatoes","soup","avocado","milk","yogurt cake","energy drink","low fat yogurt","green tea","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","chocolate","avocado","pancakes","rice","chicken","hot dogs","","","","","","","","","","","",""
"chocolate","spaghetti","mineral water","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","cake","escalope","","","","","","","","","","","","","","","",""
"shrimp","cereals","green tea","hot dogs","fresh bread","","","","","","","","","","","","","","",""
"clothes accessories","protein bar","tomato juice","fresh bread","low fat yogurt","mint","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"shrimp","french fries","champagne","cookies","pancakes","yogurt cake","light mayo","green tea","","","","","","","","","","","",""
"cottage cheese","","","","","","","","","","","","","","","","","","",""
"shrimp","soup","gums","barbecue sauce","","","","","","","","","","","","","","","",""
"eggs","french fries","cookies","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"mineral water","energy bar","","","","","","","","","","","","","","","","","",""
"spaghetti","olive oil","","","","","","","","","","","","","","","","","",""
"turkey","olive oil","green tea","honey","","","","","","","","","","","","","","","",""
"burgers","ground beef","spaghetti","salmon","eggs","honey","extra dark chocolate","escalope","protein bar","","","","","","","","","","",""
"spaghetti","mineral water","green tea","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","milk","bacon","barbecue sauce","low fat yogurt","","","","","","","","","","","","","",""
"fresh tuna","grated cheese","french wine","pancakes","eggs","cake","chicken","hot dogs","","","","","","","","","","","",""
"mineral water","eggs","bug spray","","","","","","","","","","","","","","","","",""
"milk","chocolate","french fries","escalope","pancakes","salad","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"mineral water","chicken","cereals","","","","","","","","","","","","","","","","",""
"grated cheese","chutney","eggs","","","","","","","","","","","","","","","","",""
"herb & pepper","whole wheat pasta","pepper","eggs","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","cake","light cream","cooking oil","eggplant","cottage cheese","pancakes","","","","","","","","","","","",""
"frozen vegetables","mineral water","low fat yogurt","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","","","","","","","","","","","","","","","","","",""
"nonfat milk","cookies","mushroom cream sauce","","","","","","","","","","","","","","","","",""
"herb & pepper","shrimp","tomatoes","milk","eggs","light cream","cooking oil","chili","chocolate","","","","","","","","","","",""
"mineral water","meatballs","olive oil","muffins","whole wheat rice","yogurt cake","light mayo","salt","","","","","","","","","","","",""
"mineral water","chocolate","low fat yogurt","","","","","","","","","","","","","","","","",""
"tomatoes","meatballs","chicken","eggs","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"chocolate","french fries","mint","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"turkey","burgers","frozen vegetables","ground beef","mineral water","almonds","salmon","barbecue sauce","carrots","hot dogs","","","","","","","","","",""
"chocolate","french fries","","","","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","spaghetti","mineral water","milk","olive oil","salmon","green tea","chocolate","french fries","hot dogs","cottage cheese","energy drink","","","","","","",""
"grated cheese","mineral water","cooking oil","","","","","","","","","","","","","","","","",""
"pepper","milk","muffins","","","","","","","","","","","","","","","","",""
"turkey","burgers","grated cheese","almonds","cake","cooking oil","low fat yogurt","","","","","","","","","","","","",""
"red wine","ground beef","spaghetti","mineral water","eggs","","","","","","","","","","","","","","",""
"burgers","dessert wine","champagne","frozen smoothie","cookies","hot dogs","green tea","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","honey","french fries","escalope","","","","","","","","","","","","","","",""
"tomatoes","","","","","","","","","","","","","","","","","","",""
"shrimp","oil","extra dark chocolate","light mayo","white wine","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"ground beef","soup","avocado","olive oil","cake","chocolate bread","green tea","french fries","frozen smoothie","low fat yogurt","","","","","","","","","",""
"herb & pepper","pepper","spaghetti","eggs","","","","","","","","","","","","","","","",""
"shrimp","pancakes","","","","","","","","","","","","","","","","","",""
"turkey","parmesan cheese","milk","green tea","chocolate","","","","","","","","","","","","","","",""
"brownies","","","","","","","","","","","","","","","","","","",""
"spaghetti","chocolate","olive oil","fromage blanc","","","","","","","","","","","","","","","",""
"eggs","champagne","","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","avocado","whole weat flour","frozen smoothie","","","","","","","","","","","","","","","",""
"yams","avocado","bacon","oil","french fries","brownies","pancakes","zucchini","green tea","","","","","","","","","","",""
"meatballs","whole wheat rice","cake","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","vegetables mix","cake","frozen smoothie","cottage cheese","green tea","","","","","","","","","","","","",""
"cake","toothpaste","","","","","","","","","","","","","","","","","",""
"spaghetti","eggs","ham","chocolate","french fries","champagne","brownies","pancakes","light mayo","","","","","","","","","","",""
"green tea","chocolate","magazines","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","milk","chocolate","shallot","","","","","","","","","","","","","","",""
"vegetables mix","french fries","green tea","","","","","","","","","","","","","","","","",""
"ham","grated cheese","tomatoes","ground beef","spaghetti","mineral water","french wine","honey","rice","cooking oil","ketchup","pancakes","magazines","","","","","","",""
"red wine","pancakes","","","","","","","","","","","","","","","","","",""
"cake","chocolate","yogurt cake","","","","","","","","","","","","","","","","",""
"milk","brownies","","","","","","","","","","","","","","","","","",""
"burgers","milk","cake","cooking oil","french fries","escalope","zucchini","","","","","","","","","","","","",""
"avocado","","","","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","salmon","whole wheat rice","champagne","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","olive oil","flax seed","eggs","green tea","","","","","","","","","","","","","",""
"burgers","french fries","escalope","","","","","","","","","","","","","","","","",""
"spaghetti","honey","cake","green tea","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"burgers","shrimp","mineral water","milk","eggs","chocolate","french fries","fresh bread","","","","","","","","","","","",""
"shrimp","frozen vegetables","mineral water","meatballs","energy bar","french fries","green tea","","","","","","","","","","","","",""
"grated cheese","spaghetti","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","soup","salmon","pancakes","chicken","mint green tea","low fat yogurt","","","","","","","","","","","",""
"turkey","burgers","grated cheese","pepper","tomato sauce","mineral water","almonds","chutney","pancakes","eggs","escalope","light mayo","","","","","","","",""
"mineral water","frozen smoothie","","","","","","","","","","","","","","","","","",""
"cookies","hot dogs","","","","","","","","","","","","","","","","","",""
"turkey","frozen vegetables","ground beef","mineral water","soup","avocado","salmon","cake","mint green tea","tea","low fat yogurt","","","","","","","","",""
"tomato sauce","","","","","","","","","","","","","","","","","","",""
"turkey","chocolate","ground beef","mineral water","pancakes","zucchini","","","","","","","","","","","","","",""
"whole wheat pasta","green tea","","","","","","","","","","","","","","","","","",""
"mineral water","frozen smoothie","strawberries","green tea","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","pepper","mineral water","pancakes","cereals","","","","","","","","","","","","","",""
"soup","melons","salad","","","","","","","","","","","","","","","","",""
